customer_id,customer_name,customer_address,customer_city,customer_state,customer_zip,customer_country,customer_email,customer_phone,customer_dob,customer_join_date,customer_segment,customer_credit_score,customer_device_fingerprint,customer_ip_address
CUST00012,Leslie Alvarado,"72046 Lewis Islands Suite 646, Maryfort, AK 98677",West Jeffreyland,WI,85927,BB,herringjames@example.org,+1-323-427-1937x452,1965-07-25,2020-08-16,Retail,Good,3692979a1de2376a,192.168.4.50
CUST00013,Susan Brooks,"USNS Jones, FPO AP 82714",North Heidi,ME,90188,US,hoganashlee@example.org,(786)951-8506x716,1992-07-13,2023-01-19,Retail,Good,30f339cf5825d227,192.168.1.198
CUST00014,Tamara Hampton,"3147 Karen Port Suite 507, Hunterborough, MI 34363",Joshuaview,OH,01831,SI,christophercortez@example.com,+1-837-577-0143,1965-03-27,2022-09-11,Retail,Good,358ff10193af75c6,192.168.1.222
CUST00015,Patrick Rivera,"4313 Wilson Plain Apt. 337, Jennyhaven, PA 37594",Port Jamesbury,MN,24020,KI,ericksondavid@example.org,9849271094,1974-05-16,2023-04-28,Retail,Good,95d39e31cfae951e,192.168.2.117
CUST00016,Karen Short,"022 Miller Gateway, New Kathybury, WI 68995",Hayesmouth,ME,77640,NP,ashley09@example.net,333-441-2328,1944-07-31,2022-07-18,Retail,Good,1e71f1dcdec7cb3f,192.168.2.91
CUST00017,David Mann,"34936 Amy Rue Apt. 421, East Laurashire, PW 38329",Martinezport,UT,53258,IR,mkim@example.org,(959)940-1399x04902,2006-09-27,2024-05-23,Retail,Good,3faa698a2e91fb3b,192.168.0.156
CUST00018,Katherine Davis,"1256 Roberts Locks Apt. 715, Marcusfurt, VI 67950",Lake Mollymouth,MT,07605,ET,cindy77@example.org,548.424.7710,1965-07-18,2024-02-08,Retail,Good,3b8e10be98125fb1,192.168.1.119
CUST00019,Ryan Wilson,"USNS Jimenez, FPO AP 38755",Robertfort,NJ,32447,PH,patrickweeks@example.net,001-921-446-5840x4499,1974-10-14,2021-03-10,Retail,Good,fbaa71a895efccc1,192.168.4.57
CUST00020,Frank Lopez,"60576 Mcneil Turnpike Apt. 702, Mollymouth, CT 69438",Smithberg,MT,86324,DE,harrisontanya@example.com,+1-561-658-6578x091,1959-11-18,2023-08-09,Retail,Good,6851f005a32ccfb5,192.168.1.211
CUST00021,Michele Garcia,"05045 Jordan Gardens Suite 922, North Chelsea, MS 81727",South Roberta,FL,30934,PL,steve07@example.com,+1-982-317-5946x47436,1960-07-16,2021-03-26,Retail,Good,e9fdd8ec4d4056e7,192.168.3.69
CUST00022,Elizabeth Spence DDS,"743 Robinson Field, Ericaberg, SC 13236",West Kristinaton,OR,48324,ES,christopherphillips@example.net,(323)928-5884x24745,1949-07-10,2022-11-30,Retail,Good,2b69e4708e3eb9f4,192.168.4.225
CUST00023,Regina Diaz,"8175 Richards View, Danielbury, NJ 03781",Rosebury,SD,08786,ZW,tblankenship@example.net,(712)800-4711x38267,1984-05-14,2023-10-11,Retail,Good,10db5255ebee261c,192.168.3.102
CUST00024,Sandra Gilbert,"USNV Johnson, FPO AA 28978",Wallacebury,PR,48038,BZ,amy50@example.com,531-371-3900x532,2000-11-13,2023-12-05,Retail,Good,0d805f121856d1e1,192.168.2.36
CUST00025,Crystal Schroeder,"2284 Daniel Way, East Alexisbury, OR 42938",East Josephberg,WA,55677,SL,reesethomas@example.com,891.878.3908x47007,1991-02-02,2022-03-26,Retail,Good,9e1394d7da857f01,192.168.4.110
CUST00026,Bobby Franklin,"985 Vang Pines Suite 789, Garciaville, PR 86315",South Shannon,IN,54740,LU,uross@example.org,465-245-2711x11615,1984-04-22,2024-03-03,Retail,Good,12d4269fc5014f52,192.168.1.36
CUST00027,Shane Pugh,"9451 Eric Orchard, Port Daniel, PR 73411",Dannyview,OK,30144,NP,lynchdiane@example.net,302-444-5502x296,1994-10-27,2021-06-08,Retail,Good,f5fee19c9e003771,192.168.0.221
CUST00028,Jesse Moore,"910 Eric River Apt. 147, Tuckermouth, MT 36305",Port William,MI,56850,CG,erika97@example.net,+1-740-336-9003x43244,1944-12-04,2022-03-24,Retail,Good,91f76fda83116bad,192.168.1.203
CUST00029,Michael Mason,"60607 Michelle Ports Suite 966, Dariustown, MD 23028",Collierstad,CO,57741,CD,ryanmorales@example.org,(745)435-2181x8835,1960-06-23,2021-06-30,Retail,Good,e358c7464c3d8e57,192.168.3.98
CUST00030,Paige Rios,"9979 Lin Road Suite 271, Ramosport, WY 36503",West Williamport,NH,59734,AZ,woodjustin@example.net,999-586-7980,1966-04-12,2021-11-15,Retail,Good,b2a55ce8429ba6b7,192.168.4.221
CUST00031,Robert Monroe,"Unit 1820 Box 3778, DPO AP 80429",West Nathan,LA,51280,NE,erika05@example.org,818-464-4925x19254,1984-11-21,2020-12-03,Retail,Good,247212d263419b50,192.168.4.193
CUST00032,Erin Anderson,"685 Michael Falls, West Stacey, NM 25667",East Eric,LA,13757,SD,stanleynancy@example.net,(296)822-2927,1969-03-10,2023-08-08,Retail,Good,a4ea25b6f360b2e6,192.168.0.76
CUST00033,Nicole Bowers,"7359 Murray Haven, Shawchester, GA 26675",Port John,SD,63492,MR,dawsonzachary@example.org,812-247-8261x3750,1971-05-18,2024-03-05,Retail,Good,550ad9af6d360ad6,192.168.3.1
CUST00034,Alfred Galvan,"20472 West Avenue Apt. 043, New Shelby, PA 69677",Rodriguezport,IA,39973,CM,allendanielle@example.net,811.279.8089x324,1986-03-28,2021-02-02,Retail,Good,d24dadec37a92299,192.168.4.234
CUST00035,Angela Villegas,"7065 Burgess Knolls, West Johnville, WI 76772",Dennisstad,ND,44875,BA,mariacohen@example.net,822.917.0430x3054,1961-08-21,2021-12-27,Retail,Good,ae9749cb5e5b2ff0,192.168.4.156
CUST00036,Richard Glenn,"6676 Beltran Parks, Richardsonhaven, KY 11329",Millerburgh,ND,39005,LI,millerdonna@example.com,296.327.5705x964,1990-01-27,2022-10-30,Retail,Good,d1d17a7b5af8aa0c,192.168.2.196
CUST00037,Brenda Lawson,"13556 Cassie Springs, Rushstad, NV 10578",New Michael,MD,85640,IT,susanjohnson@example.org,386.481.4473x9473,2002-06-08,2021-10-04,Retail,Good,15549d94e4cb2c83,192.168.4.83
CUST00038,Rita Ponce DVM,"844 Jennifer Squares, Port Michael, IN 16408",Port Dominic,WY,65253,AR,angela57@example.net,(891)314-6786,1952-12-05,2024-03-07,Retail,Good,1456afb158a03cc7,192.168.0.238
CUST00039,Joseph Anderson,"68018 Kevin Estates, Sarahbury, MI 68513",Meghanview,ID,83739,TG,david49@example.net,782-299-2299,2000-07-22,2024-03-23,Retail,Good,2b863ed25803ab50,192.168.1.15
CUST00040,Pamela Butler,"844 Sanchez Valley Suite 471, East Scottfort, NH 27242",Catherinemouth,VI,94658,LB,theresa25@example.net,+1-415-337-1473,1947-11-04,2022-08-25,Retail,Good,9aa94daca2907f9b,192.168.0.188
CUST00041,Sean Moore,"27877 Jimenez Course Suite 873, New Michael, AR 37378",Harperfort,LA,70846,AG,jordannicole@example.net,(365)806-0983x584,1978-09-18,2023-12-15,Retail,Good,2fee9a1a88dfafb8,192.168.4.197
CUST00042,Brent Brooks,"Unit 8523 Box 9868, DPO AE 06439",East Jenniferfort,NC,60399,CZ,markaustin@example.org,(794)795-8887x9470,1990-04-02,2021-05-29,Retail,Good,60d68ee71b502ef1,192.168.3.243
CUST00043,Molly Watts,"9930 Jackson Roads Suite 230, East Andrewmouth, MT 20349",Vaughnchester,NY,80648,PW,thorntonapril@example.net,578-565-2785x85497,1963-05-21,2023-01-05,Retail,Good,0452b212b6d8985d,192.168.4.224
CUST00044,Michele Vaughn,"8441 Huang Locks Suite 240, Stephanieland, MI 58484",Julieborough,ID,71093,IR,derrick99@example.org,908.333.0165,1990-10-03,2022-12-05,Retail,Good,cddaa331b17b9aec,192.168.4.194
CUST00045,Timothy Johns,"5401 Amanda Stream, East Robertburgh, PW 05264",Frenchburgh,WA,38442,AZ,evanscarrie@example.com,978-687-2874x3152,1993-04-19,2021-09-27,Retail,Good,35cd9b27dba1b06c,192.168.3.172
CUST00046,Nicole Thompson,"8516 Jack Dam Suite 530, Patrickmouth, WV 35496",Kevinshire,AL,34783,TD,heather01@example.com,426-984-1459x3327,1995-04-14,2022-11-27,Retail,Good,8cedc403a93595e2,192.168.4.116
CUST00047,Rebecca Petersen,"785 Samantha Creek, Port Amyhaven, ID 75566",East Mark,NC,58413,CI,jenniferburns@example.net,207.828.6790x874,1961-09-18,2024-05-26,Retail,Good,4bc28fd9550b6a36,192.168.1.17
CUST00048,Gregory Brown,"Unit 1704 Box 6226, DPO AA 50633",Kanefurt,MS,11019,KZ,desireebailey@example.org,+1-868-823-0047,2000-06-05,2021-01-06,Retail,Good,fcccdd283444e0db,192.168.4.142
CUST00049,Timothy Hardy,"033 Craig Bypass Suite 903, South Scottside, IL 99379",East Williamport,IN,96382,TR,barbara53@example.com,(483)864-4089,1982-03-23,2021-09-18,Retail,Good,32e509ad2fe019ca,192.168.0.19
CUST00050,Emma Butler,"87334 Linda Centers Suite 688, South John, IL 43789",South Melanieland,ND,95473,ET,adamsemily@example.net,6132983735,1958-10-24,2023-08-22,Retail,Good,26b7c1e5d4cef23e,192.168.0.232
CUST00051,Nicole Rocha,"3854 Owens Run, Kylestad, NY 65680",Garciafort,WV,42474,GA,lawrence09@example.org,001-820-548-9964x2353,1978-05-18,2021-05-24,Retail,Good,1dad72e1f002e48c,192.168.0.132
CUST00052,Roberto Levy,"2522 White Plains Apt. 801, Port Adamberg, MP 83168",North Jasmine,AL,29169,SD,nbrooks@example.net,+1-697-270-0886x00848,1978-07-29,2023-04-08,Retail,Good,5dd71a6fa33ea300,192.168.3.55
CUST00053,Brent Hernandez,"4615 Stevens Gardens Apt. 410, South Nicholasside, NJ 07856",Lake Georgefort,PR,57374,KH,ariel18@example.org,239.474.0148,2002-04-09,2021-12-02,Retail,Good,a0c9c7a472b0bc8f,192.168.1.201
CUST00054,Michelle Sanders,"396 Reyes Streets, Port Vanessa, VA 10780",Brianchester,IN,10464,LV,unovak@example.org,+1-647-573-5866x2961,1992-12-04,2021-08-15,Retail,Good,3432c8ac5c57bb78,192.168.1.25
CUST00055,Madison Singh,"04754 David Ferry, Coleside, NY 53984",North Christopherside,CO,78741,US,michelle04@example.com,(918)439-8262x2444,1948-09-14,2023-08-18,Retail,Good,37d4ddb73a69bf76,192.168.2.109
CUST00056,Mr. David Wright,"1240 Cook River, Brockmouth, NV 44375",Ochoaberg,ME,42531,UY,timothythompson@example.com,447-293-5646x51939,1993-11-19,2022-12-12,Retail,Good,a781d3b2643cbff6,192.168.0.173
CUST00057,Sandra Jones,"724 Johnny Drives Suite 617, Aguilarside, NY 91164",Stephensstad,UT,70874,UG,rodriguezjohn@example.net,(529)509-6561x014,1974-09-25,2024-02-16,Retail,Good,301cdd3f731d0621,192.168.3.187
CUST00058,Zachary Webb,"25457 Adriana Keys, Davismouth, MD 09305",Bradleyville,AK,45468,KH,byrdfrank@example.net,582.882.5867,1987-04-03,2024-08-26,Retail,Good,eea90a5cd99d7e0e,192.168.1.50
CUST00059,Omar Ware,"0334 Barbara Union Apt. 553, Wilsonfort, NC 84270",Candicefurt,OR,15473,MG,megan92@example.net,001-749-491-2513x412,1979-02-28,2024-01-27,Retail,Good,2b5540a0da189e64,192.168.1.109
CUST00060,John Medina,"PSC 2827, Box 4225, APO AA 81688",Port Michaeltown,NM,18396,FI,gmaynard@example.net,667.567.7219x0340,1980-12-25,2023-08-30,Retail,Good,3d0baf3a31be4be4,192.168.3.64
CUST00061,Ashley Wilson,"078 Veronica Cove Apt. 407, Michaelland, NV 15887",East Lisa,OR,90827,MG,imartin@example.org,709.658.4982,1964-02-02,2024-08-10,Retail,Good,3fba1181e1219802,192.168.4.26
CUST00062,Paul Jenkins,"223 Jennifer Village Apt. 672, Courtneyfurt, NV 10399",South Zacharyview,UT,48875,PH,amurphy@example.net,975-618-6363,1966-05-15,2021-03-16,Retail,Good,cb9761a03cfeff27,192.168.0.238
CUST00063,Karina Cooper,"17012 Bryant Meadow, Lake Regina, FM 85697",Erikview,CO,86299,ML,christopher20@example.com,+1-943-261-1037x1293,1944-12-12,2021-07-04,Retail,Good,4f2e065a5a4903da,192.168.3.125
CUST00064,Karen Perez,"55426 Darlene Springs, North Alyssa, AL 80496",South Michael,IL,82824,AE,samanthajensen@example.com,711.421.9656,1961-04-05,2023-12-28,Retail,Good,3f1c4b91d2337c91,192.168.3.232
CUST00065,Melissa Abbott,"89836 Lucas Tunnel Apt. 761, South Danielle, CA 69744",West Sarahberg,MS,74999,NL,amy27@example.org,6918043006,1973-03-23,2022-10-27,Retail,Good,f703c790ad1f674d,192.168.3.1
CUST00066,Eric Dixon,"569 Kyle Mews, North John, NE 15703",Salazarton,ME,87805,SZ,davidzimmerman@example.net,4276588425,1994-04-11,2021-09-11,Retail,Good,f405bd974b67b20e,192.168.3.74
CUST00067,Jeffrey Warren,"7850 Villarreal Expressway, Ericville, MH 75724",East Joycetown,AZ,02111,HN,ruizpatrick@example.org,(608)363-5365,1983-04-17,2020-08-24,Retail,Good,75796b380401b85e,192.168.1.49
CUST00068,Robert Jarvis,"USS Wiley, FPO AA 41224",Christophermouth,AL,48855,FR,anne49@example.org,759.273.8320x603,1967-03-13,2020-11-04,Retail,Good,157cf7da2d1fd99c,192.168.0.149
CUST00069,Joseph Allen,"41038 Haynes Landing, Villegasland, OR 13028",Lake Lori,CA,78081,TN,grahamtamara@example.org,345-465-5743x1329,1951-08-04,2023-01-05,Retail,Good,d361b790fc12ea9a,192.168.0.13
CUST00070,Hunter Townsend,"1124 Jason Walks Suite 213, Randyton, TX 39670",Loriburgh,AK,53505,PG,codygarcia@example.org,600-332-3651,1945-11-18,2023-11-08,Retail,Good,0be95f77d3ca831e,192.168.0.246
CUST00071,Anna Boone,"70296 Crawford Light, Thompsonborough, PW 25031",Joshuaberg,AZ,80993,VN,deborahporter@example.net,701.946.2638x3806,1981-06-15,2024-03-02,Retail,Good,63c137e1cd03f1b3,192.168.0.153
CUST00072,Devin Johnson,"0785 Terri Courts, Lake John, ND 97108",Port Wendybury,OK,51412,MH,gregorywatkins@example.net,001-659-405-9929x378,1977-10-09,2024-09-01,Retail,Good,417af1e2042803e3,192.168.3.31
CUST00073,John Rivera,"2500 Brenda Divide, Port Aliciastad, CA 49468",Willismouth,ME,42785,CR,jessicakim@example.net,452.289.5392x6442,1992-03-03,2022-04-04,Retail,Good,3efca7005d3723a5,192.168.4.21
CUST00074,Evan Lamb,"2513 Haas Expressway, Port Jennamouth, NV 01994",Jasonland,MI,34141,CD,williamssamuel@example.com,(567)465-8617,1975-02-09,2020-09-02,Retail,Good,1a03d631a87bae2a,192.168.2.53
CUST00075,Dean Garcia,"18159 Bush Meadows Apt. 962, North Markborough, MT 91883",Donnaport,IA,13072,BE,farmstrong@example.org,3502614973,1958-06-25,2022-11-27,Retail,Good,817ef8d3520ff034,192.168.2.102
CUST00076,Brian Glover,"86256 Lopez Cape Suite 774, Port Joseph, AR 20309",North Elizabethside,MT,99651,TZ,angelarandall@example.net,(487)393-7416x08989,1995-12-05,2021-02-03,Retail,Good,f4a9785af1e19927,192.168.3.81
CUST00077,Rhonda Martinez,"29451 Paul Locks Suite 487, Port Isabellashire, NC 55498",South Edwardshire,OR,76873,PS,buckleyanna@example.org,885-464-6799x7024,1986-06-21,2021-10-26,Retail,Good,e86e79fde24cdc76,192.168.3.160
CUST00078,Shawn Vaughn,"5054 Ramirez Overpass Apt. 324, Schroedermouth, KY 96026",Jacobsland,ID,58397,GH,wfigueroa@example.net,(408)521-4862x890,2003-12-15,2020-09-22,Retail,Good,980c13eb73f2e6cf,192.168.4.55
CUST00079,Anthony Ward,"8610 Nathan Ranch Suite 279, Maxview, WA 90790",West Anthonyton,GA,75508,GH,deborahbyrd@example.com,+1-668-600-7229x0349,1973-03-28,2022-07-09,Retail,Good,3c094fe73e56977a,192.168.2.226
CUST00080,John Byrd,"108 Hoffman Ranch Suite 417, West Vanessamouth, VI 36792",Dianaport,ID,20152,SI,racheltrujillo@example.net,(552)707-4466x6099,1993-11-03,2024-04-20,Retail,Good,f8277f7f2608e80b,192.168.2.73
CUST00081,Megan Romero,"1724 Stacey Isle, East Michaelport, MT 43927",Jorgeport,NH,15938,PW,delacruzbrandy@example.net,273-481-6846,1953-09-30,2024-06-11,Retail,Good,161960ea4f268f44,192.168.4.181
CUST00082,Scott White,"250 Shannon Fords Apt. 927, East Christinachester, MO 56734",Reyeston,ND,26638,ES,stephanie58@example.org,6034354216,1948-11-03,2024-04-15,Retail,Good,2513716a11e836b1,192.168.4.77
CUST00083,Joseph Warren,"7532 Smith Fork, East Jessica, OR 66644",North Michael,SD,05398,MT,kelsey90@example.net,6109016761,1992-02-29,2022-11-14,Retail,Good,17577ec0258e6c46,192.168.2.30
CUST00084,Matthew Bates,"1891 Wilson Coves, Gonzalezborough, WI 34972",West Jade,LA,21521,BB,slozano@example.com,530-901-1972x18114,1964-07-17,2020-06-22,Retail,Good,fa9df093cfc2b1c2,192.168.2.73
CUST00085,Sarah Ward,"110 Melissa Shore Apt. 557, Natalieland, MN 45422",North Richard,NH,36130,MV,pmarsh@example.org,920-421-6979,1985-12-31,2021-11-18,Retail,Good,dcf20d26b300d471,192.168.1.176
CUST00086,Sheryl Acosta,"1670 Jose Island Apt. 899, Lake Morgan, NC 69065",South Dorothybury,NJ,45819,HR,jhernandez@example.net,7025877217,1966-12-01,2020-08-22,Retail,Good,7bb9b0e7c0c8c3a9,192.168.2.232
CUST00087,Jamie Montoya,"717 Stewart Parks Apt. 166, New Andrealand, WY 79695",Pamelaside,IL,86300,SV,xclements@example.org,375.389.9757,1996-01-26,2022-04-16,Retail,Good,7a5cdd93dd583edd,192.168.3.213
CUST00088,Tracey Carter,"27261 Carr Field, Port Philipmouth, GU 25480",Danielchester,AZ,83501,GQ,bartonshannon@example.net,001-982-470-8086,1991-06-24,2023-06-02,Retail,Good,e201ba8340740782,192.168.0.86
CUST00089,Matthew Obrien,"9346 Waller Mission Apt. 269, Meganside, VI 41645",East Jason,VT,38587,LA,samantha22@example.net,+1-651-858-7996,1999-05-28,2021-06-27,Retail,Good,ef7cc848e6ca3c01,192.168.1.190
CUST00090,Michael Gonzalez,"4204 Karen Bypass, Lisaville, RI 89043",Lake Deborah,MS,31643,SE,heather06@example.com,(558)500-4397x35989,1964-06-01,2023-08-21,Retail,Good,820f346ef04d25fc,192.168.4.3
CUST00091,Christopher Palmer,"8422 Smith Mountain Apt. 025, Port Sarahport, NM 75562",Charlesmouth,NC,29331,ER,hartmanerik@example.net,+1-661-553-3555,1995-08-14,2021-01-11,Retail,Good,9ab2c425289032b8,192.168.1.140
CUST00092,Gregory Allen,"56164 Johnson Path, Williehaven, NV 64307",West Rachelborough,MD,67858,BS,jacksonstephanie@example.net,+1-801-333-6138,1995-03-24,2020-06-21,Retail,Good,fa66c7ea4eb30426,192.168.4.142
CUST00093,Benjamin Thompson,"346 Hayes Lodge, Stewartfurt, TX 16007",Lake Jenniferland,WV,98274,TV,haynescharles@example.net,244-991-4766,1955-01-14,2023-03-21,Retail,Good,4c7ab86a69a68f43,192.168.1.11
CUST00094,Sarah Phillips,"508 David Avenue Suite 881, Jasonstad, IL 54588",East Jack,RI,33628,FI,whitelauren@example.org,001-487-581-4141x39755,1951-03-17,2023-09-21,Retail,Good,f407f6401a928832,192.168.0.231
CUST00095,Jerry Jensen,"955 Jackson Island, Port Jeffrey, WA 84496",Hillstad,DC,89574,ES,natalie77@example.com,001-347-281-2914x28341,2002-03-19,2022-01-16,Retail,Good,827fbbc8a066ddc1,192.168.1.171
CUST00096,Christy Johnson,"256 Patricia Radial Suite 278, South Michaeltown, TN 31811",Port Willie,NV,21370,EE,jillwebb@example.com,5377314530,1970-10-23,2023-11-04,Retail,Good,fbae64949e3de25f,192.168.4.227
CUST00097,Matthew Garcia,"Unit 4498 Box 9266, DPO AA 77529",New Johnbury,NC,53695,MH,tommy79@example.org,327.523.1843x22259,1972-08-12,2020-10-16,Retail,Good,a8a4e664ad3c8d5f,192.168.1.222
CUST00098,Karen Garza,"30299 Dennis Passage Apt. 920, West Sandra, NC 53644",Lake Jessicaport,CO,28890,PE,kdillon@example.org,(592)892-9842x57991,1970-08-18,2024-06-29,Retail,Good,6d9caa174fa2cfe2,192.168.3.7
CUST00099,Samantha Jacobs,"811 Hopkins Rapids, Port Erikachester, NC 55640",Nancyhaven,NE,30580,RO,zbell@example.net,001-591-262-4731x49864,1992-08-27,2024-09-07,Retail,Good,07e281b4f42bd82b,192.168.3.206
